round_id,trial,mean_score,mean_kl,mean_acc_pct,params_json
a8be24e1-bd48-49bb-aa46-c5593da79f6f,65,22.971706,0.491133,95.937500,"{""DIRICHLET_ALPHA"": 0.20946704130997748, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8991031729645944, ""PROB_FLOOR"": 0.00022519250307176882}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,103,22.970818,0.491134,95.937500,"{""DIRICHLET_ALPHA"": 0.16349518509690641, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0040357984401413, ""PROB_FLOOR"": 0.0004100772063800569}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,1,22.944802,0.491495,95.937500,"{""DIRICHLET_ALPHA"": 0.11533082554049255, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1595824194223854, ""PROB_FLOOR"": 0.009435723711991107}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,13,22.938578,0.491852,95.937500,"{""DIRICHLET_ALPHA"": 0.12416918229422409, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9019686021341886, ""PROB_FLOOR"": 0.000332576457335164}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,248,22.883017,0.492413,95.937500,"{""DIRICHLET_ALPHA"": 0.21706349529781074, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.894828148399479, ""PROB_FLOOR"": 0.00010065516005790282}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,89,22.850646,0.493140,95.937500,"{""DIRICHLET_ALPHA"": 0.04972761345646676, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.2183881889949801, ""PROB_FLOOR"": 0.000451706343286827}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,98,22.850274,0.492890,95.937500,"{""DIRICHLET_ALPHA"": 0.23196204856433492, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8707847465860417, ""PROB_FLOOR"": 0.0001690286121621907}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,198,22.844211,0.493240,95.937500,"{""DIRICHLET_ALPHA"": 0.08380841738098867, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0292829313027485, ""PROB_FLOOR"": 0.0023795648254012407}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,46,22.826302,0.493239,95.937500,"{""DIRICHLET_ALPHA"": 0.24005421117794687, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8591215484118789, ""PROB_FLOOR"": 0.0012861686067591378}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,140,22.814326,0.493677,95.937500,"{""DIRICHLET_ALPHA"": 0.05756901453109549, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1607071762768875, ""PROB_FLOOR"": 0.012429908234100784}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,84,22.778160,0.493920,95.937500,"{""DIRICHLET_ALPHA"": 0.1664634461391938, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.020352834549404, ""PROB_FLOOR"": 0.009890732425497132}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,37,22.775239,0.493977,95.937500,"{""DIRICHLET_ALPHA"": 0.226624575170522, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.8885563848613997, ""PROB_FLOOR"": 0.0011175976158048426}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,9,22.770386,0.494326,95.937500,"{""DIRICHLET_ALPHA"": 0.05671328988447222, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1613533988295046, ""PROB_FLOOR"": 0.0011842906719327735}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,134,22.761428,0.494462,95.937500,"{""DIRICHLET_ALPHA"": 0.08246257394619798, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0269256508271574, ""PROB_FLOOR"": 0.012954371866157454}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,293,22.740145,0.494777,95.937500,"{""DIRICHLET_ALPHA"": 0.08659179726391984, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.007851955260033, ""PROB_FLOOR"": 0.0025124914727797667}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,289,22.737636,0.494524,95.937500,"{""DIRICHLET_ALPHA"": 0.2269535898107296, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.89184603872191, ""PROB_FLOOR"": 0.009790769819320233}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,283,22.721294,0.494749,95.937500,"{""DIRICHLET_ALPHA"": 0.1738195835702129, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0080028960162226, ""PROB_FLOOR"": 0.00022057716960031354}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,111,22.715169,0.495144,95.937500,"{""DIRICHLET_ALPHA"": 0.058577102350172404, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.1439572649241163, ""PROB_FLOOR"": 0.003963106071630512}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,173,22.701273,0.495044,95.937500,"{""DIRICHLET_ALPHA"": 0.18824621601402056, ""OBSERVED_POSTERIOR_TEMPERATURE"": 0.9755573479207957, ""PROB_FLOOR"": 0.0001080862725784154}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,182,22.699947,0.495366,95.937500,"{""DIRICHLET_ALPHA"": 0.04398301325650593, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.246128665730509, ""PROB_FLOOR"": 0.0010739026411600377}"
a8be24e1-bd48-49bb-aa46-c5593da79f6f,82,22.675018,0.495419,95.937500,"{""DIRICHLET_ALPHA"": 0.15544379696800262, ""OBSERVED_POSTERIOR_TEMPERATURE"": 1.0623078362396214, ""PROB_FLOOR"": 0.009903748283986226}"
